run,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12
89,0.313,2.6468,2.1455,-0.8879,-2.2473,-2.3147,-0.4069,0.176,-0.6203,1.1928,-3.6003,-2.979
90,0.8114,-0.3075,-0.0477,1.8669,-0.7048,0.6328,0.3762,0.3866,0.4027,0.192,0.3353,1.5041
91,-0.8577,-0.1,-0.714,-1.0493,0.7585,-0.7686,-0.6565,-1.0337,-0.4134,-0.1512,-0.2316,-1.0058
92,0.6679,-0.3786,-0.5981,0.3505,-0.0198,0.9239,-0.2831,-0.0273,-0.003,0.1896,0.5332,1.3873
93,0.6187,0.0181,-0.3692,2.0763,-1.5005,-0.1781,-0.2013,0.6076,0.4393,0.7482,-1.602,0.002
94,-1.6182,2.1249,2.37,-4.7885,1.984,-1.3676,0.1039,-1.126,-0.4466,-0.9367,0.7153,-2.3894
95,-0.0098,0.6342,1.6745,-0.0195,1.1905,0.7759,2.4784,1.5967,2.6548,-1.7818,2.967,3.7162
96,-0.335,-0.2615,-0.0952,-2.368,1.3473,-0.3083,0.0106,-0.4235,-0.4874,0.4582,1.4364,-0.2273
97,-1.5751,-1.8867,-0.3857,-1.6264,2.8237,1.3107,1.101,-0.5182,1.2453,-0.8623,3.9515,2.7203
98,2.2051,-0.3734,-0.204,4.7009,-2.8113,1.4619,2.0415,2.5482,2.4731,-1.2855,-0.2394,4.2034
99,-0.2414,-0.0838,-0.7704,-0.2542,-0.0669,0.2602,-0.3503,-0.5414,-1.0468,0.732,-0.037,-1.3378
100,-1.1012,2.5442,1.3928,-2.5662,-0.3242,-1.4901,-0.0724,0.2008,-0.4663,0.1648,-1.6401,-1.675
101,-0.7089,1.5131,2.0583,-1.2555,-0.7709,-1.036,0.696,0.0364,0.6957,0.2223,-0.6361,-1.6643
102,-1.105,0.9962,1.2338,-2.9904,1.3323,-0.3849,0.7875,-0.2458,1.3654,-1.5779,1.9943,-0.2055
103,-0.3138,0.0622,0.0072,-0.026,-0.0229,0.2647,0.2984,0.2997,-0.0595,-0.0205,-0.4381,0.041
104,0.2543,2.2442,3.0468,-1.5588,-0.1485,-1.4727,1.3905,1.4023,2.7203,-1.1397,0.9582,0.8884
105,0.4958,3.803,2.806,1.4609,-1.9007,-1.4071,-0.0664,1.1191,0.1157,1.1964,-4.173,-3.2422
106,0.9169,-0.3269,-1.4012,3.0537,-1.4557,-0.0678,-0.8387,-0.1587,-1.1877,2.0155,-3.6044,-0.5723
107,-2.2988,-4.8945,-3.2706,-2.8131,4.3621,2.1605,-1.3037,-2.3682,-1.9825,-0.6029,5.7179,1.5977
108,-1.7697,-1.6583,-0.9964,-2.2473,1.7965,0.0205,-0.9491,-1.5567,-0.6403,0.0171,2.1125,-1.1
109,-0.5954,-0.254,-0.514,-1.7489,0.6509,-0.375,-0.5466,-1.3269,-1.7801,0.0267,0.1489,-1.4729
110,-0.0936,-0.1243,0.4155,0.7553,-0.301,0.2062,0.515,0.9204,0.9918,-0.5613,0.378,1.2299
111,-0.2963,-0.4011,0.0798,-1.1677,1.1481,0.5448,0.3276,-0.0704,0.4914,-0.5319,2.4167,0.7318
112,-0.4527,-0.2528,0.2267,-0.9878,0.6934,-0.481,-0.0141,-0.0983,1.3474,-0.3277,0.8883,-0.211
113,-1.2759,-2.0092,-1.2793,-2.8699,2.0558,0.3792,0.1406,-1.0158,-0.8555,-0.9921,3.0976,-0.781
114,-0.0343,0.5971,0.8417,1.1112,-0.4328,0.196,1.1426,1.4407,1.6078,-0.6839,0.1448,0.9581
115,0.4083,-1.2192,0.7225,1.8449,-0.9911,0.9804,1.0601,1.5068,1.5797,-0.9171,0.5916,3.6724
116,-0.6504,0.6083,1.4209,-0.1069,-0.0065,0.0374,1.2457,1.1478,1.3622,-1.1676,1.7578,2.0881
117,0.8518,-1.189,-0.7239,3.5204,-0.4852,1.8263,1.7858,1.8671,3.0052,-1.0696,2.1815,5.9831
118,0.5931,-1.6247,-1.4312,0.8626,-0.387,1.1692,-0.8345,-0.537,-0.3678,0.4464,-0.03,-0.4105
119,-1.3618,0.339,0.3938,-3.3621,2.2716,-0.3313,0.2814,-0.8384,0.6608,-1.2593,3.0384,-0.3005
120,-0.6874,-0.1563,0.5909,0.3469,-0.3346,0.0206,0.7317,0.0405,0.308,-0.837,1.2638,1.1136
121,0.3694,-1.2608,-2.316,2.2018,-0.5514,-0.0457,-1.8217,-0.9587,-2.1847,1.8186,-1.9902,-0.5685
122,0.5636,2.8016,1.7125,-1.2457,-0.6826,-1.4164,0.5636,0.3251,0.9195,-0.6038,-1.5888,-1.3465
123,0.937,-1.7913,-2.38,1.3701,-0.0704,1.2224,-1.3687,-0.8902,-1.3614,0.5082,0.0634,0.81
124,0.5238,1.6663,1.1209,0.9413,-1.9047,-0.5652,0.9366,1.1409,0.5123,0.3979,-1.6587,0.712
125,0.9903,0.3619,0.0314,2.3768,-1.6791,-0.1551,0.5791,0.4927,0.865,-0.3369,-1.4568,0.7472
126,0.4543,-0.0349,0.9556,-0.4093,1.0511,0.987,2.1076,0.8781,3.089,-2.2975,3.333,4.971
127,0.6254,1.8704,1.0754,-0.9333,-0.4056,-1.9239,-0.2434,-0.5704,-0.9488,0.6991,-1.9733,-3.0847
128,-0.2342,-2.1684,-3.1016,0.0058,0.9943,0.4238,-2.1141,-2.1481,-2.4546,1.4188,0.0973,-1.7128
129,1.0216,1.9722,3.1631,1.4144,-2.048,-0.8187,1.7601,1.7648,2.8608,-0.6316,-1.7424,1.3837
130,1.4329,-1.2925,-2.1575,3.6023,-2.2566,-0.7945,-2.3917,-0.6508,-4.1058,2.5598,-6.7162,-3.9629
131,-0.3847,0.7052,0.677,-1.0994,0.95,-0.8034,1.1403,0.7408,0.621,-1.0977,1.7804,0.6712
132,-1.1607,1.9971,1.9713,-4.5223,1.8402,-0.6935,0.5684,0.1623,1.0571,-1.1641,1.7176,-1.2646
133,-0.3924,2.1165,1.769,-2.1898,1.4946,-0.8929,1.4744,0.7126,0.9767,-1.4868,0.6512,-1.2678
134,-0.7125,-0.7901,-1.3165,-1.1488,2.0041,0.8285,-0.0863,0.0722,-0.8163,-0.7824,2.0496,0.8144
135,0.9094,-0.6257,-0.4046,2.5024,-1.0022,1.3372,1.7113,1.9245,2.4569,-0.8467,1.0961,4.5952
136,-0.4618,1.5257,3.3465,-2.1427,0.8664,-0.6962,1.5732,0.7647,2.823,-1.4164,1.829,1.0975
137,0.9064,-1.0038,-1.4651,1.5463,-0.8076,0.4226,-1.0729,0.7103,-1.0182,1.0205,-1.1074,0.8036
138,-0.2027,-0.4667,-0.9086,-1.1663,0.399,-1.4259,-1.6954,-1.7824,-2.7651,1.5969,-0.8374,-3.7501
139,-1.682,-0.3427,-0.4469,-3.5624,2.7146,-0.2095,0.5101,-0.9527,0.7042,-1.8673,3.6283,0.3451
140,0.0453,2.8282,3.2524,-1.4198,-0.4727,-1.0331,1.9581,1.6773,3.0596,-1.3191,0.371,0.035
141,0.761,2.6542,3.2537,0.9239,-2.4109,-1.1592,1.7138,1.6476,3.066,-1.1549,-1.4483,2.088
142,0.2376,2.2164,3.467,-1.5351,0.3948,-0.2644,1.9622,2.288,3.0277,-2.4521,1.4037,2.1519
143,-0.8232,-0.2368,0.6096,-1.2737,0.7514,0.7087,-0.3776,-0.5275,-0.0989,-0.6384,1.3031,0.231
144,-0.5383,-1.3268,-0.7066,0.3741,1.0721,1.5678,1.3585,0.8577,1.9725,-1.5673,4.6475,3.9204
145,-0.2249,-0.9698,-0.6057,-0.5797,-0.1144,-0.5749,-1.7609,-0.8507,-1.2841,1.0245,-0.4826,-2.3444
146,-1.023,3.9885,3.2914,-3.7035,-0.4094,-2.6466,0.3833,-0.1397,0.9559,-0.5203,-1.1974,-3.9391
147,0.8883,1.1531,0.923,1.6773,-1.4714,-0.5187,-0.3572,0.883,0.0221,1.0456,-2.3016,-0.5241
148,-0.9067,-1.7373,-0.5946,-1.4314,2.3212,1.8558,1.5338,0.0258,1.6149,-1.6184,4.3293,3.3992
149,-1.1437,-0.7312,-0.1146,-2.1698,1.5433,-0.2291,-0.5562,-1.2071,-0.9172,0.0472,1.2609,-1.1873
150,-1.1439,0.1201,0.9901,-2.6794,1.4535,0.3265,-0.1752,-0.4942,0.5868,-0.5834,2.1442,-0.0628
151,-2.5707,2.5506,2.9904,-6.5982,3.4104,-1.2155,2.246,-0.8385,2.4084,-3.0116,5.892,-0.0464
152,-1.0388,0.4078,0.6725,-3.9879,2.4067,0.3999,0.7486,-0.9122,0.6093,-1.0318,3.2473,-0.0903
153,-2.8102,4.9279,5.7511,-6.7999,2.3855,-1.7155,2.4747,0.5377,3.8551,-3.0172,4.7346,-0.2688
154,-1.8281,0.3425,0.7188,-2.5457,2.0738,-0.0609,-0.4144,-1.3843,-0.2994,-0.3654,2.4024,-0.6758
155,0.2205,-0.4041,-0.1255,-0.5023,0.5755,0.1271,-0.1307,-0.1683,0.4963,-0.2054,1.4766,0.9398
156,-1.1634,-0.6391,1.5548,-1.4858,2.2016,1.4306,2.3307,1.4285,3.6427,-2.6844,4.8562,5.21
157,-0.8067,1.6097,2.3501,-5.1335,2.9739,-0.3387,1.8152,-0.0085,2.5071,-2.5676,4.5817,2.0754
158,0.4742,1.1387,2.1582,2.1022,-0.8313,0.3189,2.684,2.662,3.9465,-1.725,0.6543,4.4054
159,-0.5132,-0.0871,-0.7236,-2.9221,2.2492,0.7489,0.2958,-0.3049,0.1432,-0.0604,2.5308,-0.528
160,-2.3751,0.4559,1.2018,-5.088,3.3709,0.5996,1.6539,-0.34,2.6319,-2.7536,6.977,2.6256
161,-0.7238,-1.5268,-0.9182,-0.8263,3.1467,1.7542,0.7695,0.2095,1.8065,-1.2273,4.3093,3.3323
162,0.4994,-1.6614,0.6897,0.634,0.381,1.579,1.017,1.3749,2.0419,-1.4804,3.3808,4.7466
163,-2.2027,2.2373,3.063,-6.5533,3.2832,-1.2726,1.9774,-0.6508,1.5821,-1.7959,3.6584,-1.0633
164,-0.6306,-1.2563,-0.3601,-0.3687,1.4205,1.39,2.2529,0.087,1.9274,-2.3197,4.817,5.0238
165,-0.3926,-0.2431,1.0715,-1.5332,1.1423,1.2466,2.7355,0.7922,2.8407,-2.4215,4.0122,3.4529
166,-0.3907,1.3276,1.1979,-1.7607,0.8516,-0.6238,0.5422,-0.3651,0.9521,-0.4697,0.9255,0.0221
167,-0.0984,1.2146,2.3299,-0.5046,1.0937,0.7308,2.7873,2.4258,4.0468,-2.405,3.5926,4.8506
168,-1.0132,1.0193,1.6534,-3.8527,2.1013,0.2324,1.9782,-0.2112,2.7035,-1.673,4.1299,1.0261
169,0.2069,0.766,0.6576,-0.6897,0.3224,-0.9224,0.3438,-0.8937,-0.5474,-0.1436,0.3227,-1.1484
170,-1.6036,0.1083,1.8375,-5.0343,6.8756,0.3335,1.467,-0.7588,3.0051,-2.8824,6.1835,2.1671
171,-0.9411,-1.0767,0.3713,-1.5683,5.2635,1.6117,1.3594,0.2758,2.2239,-1.6227,3.1332,2.6977
172,-1.1672,1.2843,2.0846,-1.3135,4.9437,1.0302,3.2583,2.2867,5.0384,-3.92,5.2343,6.0808
173,-1.1682,2.1815,2.8283,-2.3233,3.8622,0.315,1.4657,0.8823,1.4514,-2.1856,2.656,1.918
174,-3.0846,0.7569,2.454,-6.82,9.1113,1.2045,3.2279,0.7086,4.1023,-4.3826,10.5105,4.6536
175,-0.8917,3.4692,4.719,-1.7643,3.2755,-0.2838,4.8559,3.1733,6.3592,-4.3587,3.748,4.5515
176,-1.4598,3.8495,5.4889,-4.5642,4.9513,-0.5027,4.4659,2.0782,7.0805,-4.7043,6.7037,4.37
177,-3.1665,-0.6708,2.1703,-7.5663,9.8982,2.7245,3.9679,0.1857,5.4719,-5.3315,12.4558,5.4118
178,0.3869,0.0633,1.79,0.9079,3.6017,1.2143,3.047,2.5635,4.3091,-2.9227,4.8421,6.1526
179,-0.1104,0.5075,2.2945,-0.1212,4.1144,1.8011,3.6196,3.0431,6.0777,-4.4016,7.0916,7.6359
180,-2.6694,2.5336,2.6022,-6.8964,7.2719,0.408,2.603,1.1738,5.2468,-4.06,7.604,3.3987
181,0.4347,-1.4457,-1.0783,-1.2176,5.0844,1.6085,-0.1785,-0.8611,0.1812,-1.1928,2.4413,2.0364
182,-1.2724,0.5627,2.2838,-4.1346,7.0395,2.27,4.0832,1.1882,5.0363,-4.2805,8.4742,6.3131
183,-0.8789,1.721,3.1014,-2.3436,5.7568,1.2708,3.7056,1.4142,5.82,-3.7369,6.1683,5.1928
184,-0.7106,0.5761,1.4529,-1.5197,4.3977,0.7904,2.569,1.3397,3.7243,-3.0316,5.106,4.3541
185,-1.5234,1.0456,1.5252,-5.1837,6.7004,1.0446,1.9681,0.2575,3.6013,-3.2216,7.561,3.504
186,-0.6709,-0.5165,0.8766,-0.1254,5.3497,1.9113,2.7279,1.7607,4.7254,-3.54,7.0303,7.6112
187,-3.1582,2.2677,3.0828,-6.2814,6.238,-0.0623,2.0928,0.051,2.1883,-2.5508,4.8313,1.3399
188,-3.9314,-0.5755,1.5364,-7.7043,10.3166,2.5375,3.8458,0.2163,5.4941,-5.8255,12.603,6.8624
189,-1.3011,2.0173,3.5637,-5.1987,6.366,0.5159,3.5912,1.4163,5.3343,-3.8013,6.9325,3.8912
190,-1.7185,-0.1722,1.3208,-2.8076,6.8494,2.1813,2.589,0.6661,4.4245,-2.6561,7.6397,4.7839
191,-1.9706,1.5112,2.635,-5.3573,6.382,0.2036,2.2212,0.8513,3.4515,-2.8084,5.5626,2.0242
192,-1.8435,0.7169,2.4565,-3.8555,6.3013,1.7375,4.305,1.932,6.4293,-4.554,8.747,6.982
193,-0.2899,0.2718,1.8017,-1.204,4.4946,0.6132,2.4519,1.1546,3.7348,-2.2848,4.2046,4.0044
194,-0.4011,0.5022,2.3625,-2.9754,5.3841,0.8992,2.9291,0.6913,4.3188,-3.105,6.0483,4.4184
195,-0.7941,0.3726,3.1386,-0.7071,5.5145,2.4408,4.0721,2.3166,7.2056,-4.8092,7.9194,9.2386
196,-1.2879,2.051,3.6201,-2.7326,5.3655,0.3154,3.9962,3.0703,5.9383,-4.3627,6.9947,7.1547
197,-3.5298,1.164,3.4223,-8.2822,9.5178,2.721,4.4907,0.7345,6.9921,-6.6418,12.9251,7.2352
198,-1.4313,0.7116,3.8469,-3.6915,6.5364,1.856,4.72,2.3629,8.1317,-5.7755,10.3151,8.7485
199,-1.0792,3.5415,3.9638,-3.1721,4.5052,0.0334,4.5532,1.9276,5.3014,-3.3524,4.2962,3.2564
200,-3.061,0.9231,1.7034,-5.3829,7.6834,0.8448,2.9843,0.5258,3.9036,-3.829,8.695,4.1915
