wafer_id,run_index,t_s,step,rf_power_W,chamber_pressure_mTorr,gas_flow_sccm,oes_endpoint_au,wall_temp_C
W0007,7,65,main_etch,754.3798,10.4262,109.1693,1.0379,67.4731
W0007,7,66,main_etch,753.1106,10.4673,109.0260,1.0426,67.7838
W0007,7,67,main_etch,758.1506,10.4178,108.6505,1.0492,67.7458
W0007,7,68,main_etch,757.0367,10.4143,108.3591,1.0632,67.5327
W0007,7,69,main_etch,752.9540,10.3354,108.5292,1.0656,67.4839
W0007,7,70,main_etch,753.9554,10.4917,107.8647,1.0590,67.6250
W0007,7,71,main_etch,756.1782,10.4470,107.6812,1.0652,67.6604
W0007,7,72,main_etch,753.4784,10.3851,108.9725,1.0864,67.4871
W0007,7,73,main_etch,750.8792,10.3918,108.1510,1.0757,67.5752
W0007,7,74,main_etch,752.7775,10.4268,107.6412,1.0680,67.4164
W0007,7,75,overetch,720.4265,10.2538,110.1163,0.6820,68.1435
W0007,7,76,overetch,719.1651,10.2856,110.4119,0.6693,68.1996
W0007,7,77,overetch,721.6821,10.2778,111.2756,0.7107,68.3050
W0007,7,78,overetch,722.3121,10.1816,111.0114,0.6912,68.1792
W0007,7,79,overetch,725.7125,10.1890,109.3355,0.6845,68.2810
W0007,7,80,overetch,721.6027,10.3290,110.6462,0.7078,68.4874
W0007,7,81,overetch,716.3935,10.2132,110.7920,0.6791,68.1772
W0007,7,82,overetch,724.2409,10.2395,110.3687,0.7085,68.2014
W0007,7,83,overetch,723.3329,10.2509,110.8767,0.7127,68.5682
W0007,7,84,overetch,722.4498,10.3250,109.7223,0.6940,68.2328
W0007,7,85,overetch,721.3602,10.2420,109.9481,0.7147,68.4960
W0007,7,86,overetch,719.7633,10.1581,109.9434,0.7131,68.2417
W0007,7,87,overetch,723.4537,10.1328,110.3644,0.7147,68.1370
W0007,7,88,overetch,722.2645,10.2524,111.6092,0.7132,68.2166
W0007,7,89,overetch,730.6219,10.2067,110.0692,0.7070,68.1083
W0007,7,90,overetch,723.9609,10.1907,111.6526,0.6991,68.3227
W0007,7,91,overetch,718.7396,10.2078,110.6680,0.7080,68.1461
W0007,7,92,overetch,723.9926,10.1348,110.2852,0.7034,68.1570
W0007,7,93,overetch,722.7401,10.2294,111.4969,0.7255,67.9637
W0007,7,94,overetch,722.5385,10.1987,110.2161,0.7093,68.2269
W0007,7,95,overetch,725.5397,10.2732,110.3673,0.7332,68.2895
W0007,7,96,overetch,724.1756,10.2295,110.6977,0.7127,68.3296
W0007,7,97,overetch,720.5509,10.1724,108.9760,0.7482,68.2288
W0007,7,98,overetch,721.8533,10.2359,110.7773,0.7275,68.3260
W0007,7,99,overetch,719.7950,10.1199,111.8919,0.7358,68.3124
W0034,34,0,stabilize,684.4172,10.6363,122.7303,0.5556,63.5434
W0034,34,1,stabilize,681.9645,10.6396,123.2252,0.5492,63.4472
W0034,34,2,stabilize,682.4985,10.7597,122.0882,0.5522,63.6449
W0034,34,3,stabilize,677.9067,10.6980,122.7810,0.5545,63.6506
W0034,34,4,stabilize,684.5695,10.6160,123.3878,0.5526,63.7734
W0034,34,5,stabilize,680.0279,10.5895,121.7086,0.5531,63.6821
W0034,34,6,stabilize,677.6071,10.6138,121.7748,0.5527,63.5525
W0034,34,7,stabilize,679.7092,10.5810,124.0835,0.5417,63.7076
W0034,34,8,stabilize,680.9246,10.6479,121.0462,0.5479,63.6579
W0034,34,9,stabilize,680.9347,10.5449,120.8492,0.5714,63.6642
W0034,34,10,stabilize,681.3820,10.6110,121.9558,0.5651,63.7772
W0034,34,11,stabilize,680.9301,10.6641,122.9954,0.5847,63.5674
W0034,34,12,stabilize,674.9040,10.6530,122.0452,0.5528,63.6743
W0034,34,13,stabilize,680.3562,10.5707,121.5833,0.5861,63.7873
W0034,34,14,stabilize,679.1738,10.6101,122.1427,0.5534,63.6004
W0034,34,15,stabilize,676.3131,10.6007,121.5564,0.5813,63.6031
W0034,34,16,stabilize,680.9927,10.5976,122.3625,0.5715,63.3280
W0034,34,17,stabilize,676.4841,10.5824,122.3163,0.5748,63.5627
W0034,34,18,stabilize,683.9471,10.6629,122.6799,0.5809,63.5541
W0034,34,19,stabilize,684.5636,10.6640,123.7257,0.5735,63.9555
W0034,34,20,main_etch,758.2492,10.0678,121.9822,0.9209,64.1457
W0034,34,21,main_etch,762.0809,10.1102,123.1558,0.9226,63.7860
W0034,34,22,main_etch,759.1364,10.1322,122.1166,0.9500,63.8087
W0034,34,23,main_etch,759.6915,10.0671,121.8865,0.9396,64.2597
W0034,34,24,main_etch,757.5484,10.1151,122.7810,0.9675,64.1743
W0034,34,25,main_etch,757.2589,10.1882,122.0657,0.9559,64.2955
W0034,34,26,main_etch,759.3137,10.0902,122.4693,0.9445,64.1704
W0034,34,27,main_etch,757.8123,10.0698,122.7585,0.9432,64.0894
W0034,34,28,main_etch,758.7740,10.1274,123.4780,0.9592,64.2492
W0034,34,29,main_etch,755.2621,10.0860,122.2253,0.9699,64.3683
W0034,34,30,main_etch,760.4319,10.0990,123.0955,0.9677,64.5789
W0034,34,31,main_etch,758.3152,10.1044,121.5329,0.9727,64.2476
W0034,34,32,main_etch,755.4213,10.1274,122.8875,0.9699,64.4415
W0034,34,33,main_etch,759.6116,10.1090,122.0872,0.9764,64.1554
W0034,34,34,main_etch,758.9885,10.1409,121.7640,0.9659,64.1615
W0034,34,35,main_etch,757.9011,10.0756,123.7327,0.9892,64.2300
W0034,34,36,main_etch,757.2883,10.1344,122.4447,0.9842,64.0804
W0034,34,37,main_etch,754.4142,10.1699,122.7240,0.9877,64.2280
W0034,34,38,main_etch,755.7474,10.1434,122.5640,0.9912,64.3506
W0034,34,39,main_etch,754.1156,9.9822,122.7503,0.9926,64.1135
W0034,34,40,main_etch,751.6040,10.1082,123.3656,0.9877,64.0070
W0034,34,41,main_etch,755.1867,10.1262,121.6678,0.9978,64.3411
W0034,34,42,main_etch,755.9182,10.1588,121.5026,0.9987,64.1985
W0034,34,43,main_etch,759.3953,10.0559,122.5195,1.0140,64.1730
W0034,34,44,main_etch,754.0895,10.1211,121.5381,1.0415,64.2416
W0034,34,45,main_etch,755.5968,10.1019,122.4402,1.0220,64.2919
W0034,34,46,main_etch,756.4376,10.0714,123.0786,1.0219,64.2616
W0034,34,47,main_etch,755.5277,10.1522,122.5587,1.0324,64.2965
W0034,34,48,main_etch,756.8071,10.1622,124.4460,1.0330,64.2844
W0034,34,49,main_etch,760.7280,10.2536,122.6887,1.0375,64.3407
W0034,34,50,main_etch,756.6252,10.1632,122.0277,1.0519,64.2382
W0034,34,51,main_etch,755.6936,10.1428,122.7561,1.0296,64.2514
W0034,34,52,main_etch,757.2913,10.1338,122.5925,1.0374,64.4578
W0034,34,53,main_etch,759.6522,10.1054,123.2765,1.0550,64.4776
W0034,34,54,main_etch,761.5149,10.1707,122.3737,1.0315,64.2855
W0034,34,55,main_etch,755.5953,10.1605,122.5797,1.0596,64.1782
W0034,34,56,main_etch,757.2427,10.1174,124.0983,1.0325,63.9639
W0034,34,57,main_etch,757.3035,10.1005,122.0495,1.0596,64.0852
W0034,34,58,main_etch,755.7323,10.1288,123.1808,1.0488,64.2378
W0034,34,59,main_etch,757.6955,10.1128,122.6970,1.0826,64.0835
W0034,34,60,main_etch,753.4959,10.0778,122.8682,1.0750,64.3338
W0034,34,61,main_etch,756.3270,10.0783,122.0135,1.0692,64.3178
W0034,34,62,main_etch,754.1421,10.2115,121.8206,1.0710,64.2096
W0034,34,63,main_etch,757.4726,10.0756,122.9105,1.0765,64.0866
W0034,34,64,main_etch,754.0062,10.1514,122.4094,1.0510,64.1789
W0034,34,65,main_etch,758.7709,10.0352,122.2591,1.0851,64.2679
W0034,34,66,main_etch,757.7332,10.1094,123.6647,1.0857,64.2039
W0034,34,67,main_etch,759.0836,10.1720,121.3179,1.0658,64.3335
W0034,34,68,main_etch,756.8032,10.1195,121.7846,1.0803,64.0519
W0034,34,69,main_etch,752.4107,10.0776,123.7677,1.1008,64.3621
W0034,34,70,main_etch,757.1224,10.0914,123.4577,1.1067,64.3951
W0034,34,71,main_etch,755.2112,10.1394,122.7260,1.1026,64.5099
W0034,34,72,main_etch,758.5894,10.1699,122.6675,1.0978,64.4091
W0034,34,73,main_etch,746.9653,10.2085,123.0538,1.1049,64.0005
W0034,34,74,main_etch,752.5955,10.2285,122.2201,1.1060,64.3210
W0034,34,75,overetch,728.8648,9.9551,124.8278,0.7109,64.9661
W0034,34,76,overetch,727.3004,9.8745,124.7551,0.7282,64.9782
W0034,34,77,overetch,724.6033,9.9550,125.6625,0.7259,64.7472
W0034,34,78,overetch,724.8693,9.9059,125.2673,0.7155,64.7953
W0034,34,79,overetch,719.4350,9.8407,125.8062,0.7281,65.0121
W0034,34,80,overetch,723.3016,9.8724,125.6795,0.7257,64.8113
W0034,34,81,overetch,728.1381,9.8922,125.2985,0.7320,64.6726
W0034,34,82,overetch,723.5892,9.8794,123.5082,0.7388,64.9392
W0034,34,83,overetch,726.2907,9.8426,124.7534,0.7170,64.7277
W0034,34,84,overetch,728.1548,9.9331,124.8227,0.7261,64.8155
W0034,34,85,overetch,727.1004,9.9003,126.5043,0.7251,65.0536
W0034,34,86,overetch,723.0673,9.9585,123.8719,0.7425,64.8257
W0034,34,87,overetch,720.7578,9.8841,125.4498,0.7411,65.0134
W0034,34,88,overetch,724.3435,9.9062,124.4919,0.7555,64.9025
W0034,34,89,overetch,723.3916,9.9615,125.1370,0.7307,65.0511
W0034,34,90,overetch,730.7495,9.9767,124.7462,0.7208,65.0537
W0034,34,91,overetch,722.4857,9.9683,125.3999,0.7223,64.7691
W0034,34,92,overetch,728.5805,9.8876,125.8610,0.7455,64.9091
W0034,34,93,overetch,724.6888,9.8382,126.2846,0.7438,64.8351
W0034,34,94,overetch,724.9250,9.9720,123.8078,0.7570,65.0558
W0034,34,95,overetch,726.5341,9.9601,124.1223,0.7459,65.0077
W0034,34,96,overetch,725.6734,9.9085,126.0409,0.7326,64.9770
W0034,34,97,overetch,728.6435,9.9242,125.1972,0.7216,64.9516
W0034,34,98,overetch,727.8113,9.8805,125.4037,0.7644,64.8067
W0034,34,99,overetch,728.2084,9.8725,124.2170,0.7674,64.8974
W0068,68,0,stabilize,653.0037,10.8154,117.7289,0.5875,65.9807
W0068,68,1,stabilize,657.8140,10.7983,116.9356,0.5676,65.9317
W0068,68,2,stabilize,654.9135,10.8345,118.1100,0.5739,66.1626
W0068,68,3,stabilize,651.4014,10.8101,117.4225,0.5952,66.2099
W0068,68,4,stabilize,651.4827,10.7652,117.7291,0.5788,66.3091
W0068,68,5,stabilize,653.0449,10.8610,117.9178,0.5682,66.2072
W0068,68,6,stabilize,653.1349,10.8861,119.4257,0.5766,66.1346
W0068,68,7,stabilize,652.0686,10.8782,116.2464,0.5777,66.3030
W0068,68,8,stabilize,656.0553,10.8432,116.5863,0.5758,66.0965
W0068,68,9,stabilize,653.6439,10.8750,116.9367,0.5612,66.1941
W0068,68,10,stabilize,649.3717,10.7096,116.2443,0.5677,66.2873
W0068,68,11,stabilize,651.7020,10.7798,116.3044,0.5728,66.0900
W0068,68,12,stabilize,651.7485,10.8112,117.3352,0.5708,66.0165
W0068,68,13,stabilize,650.5706,10.8220,118.5466,0.5558,66.1726
W0068,68,14,stabilize,650.4904,10.8411,117.4537,0.5844,66.1987
W0068,68,15,stabilize,654.4700,10.7871,115.6756,0.5747,66.1318
W0068,68,16,stabilize,651.8069,10.8156,116.9358,0.5601,66.0526
W0068,68,17,stabilize,650.0486,10.8568,118.1886,0.5577,66.1730
W0068,68,18,stabilize,651.2010,10.8623,117.1184,0.5858,66.3478
W0068,68,19,stabilize,654.5517,10.8994,118.0735,0.5683,66.2443
W0068,68,20,main_etch,727.6443,10.2642,116.4111,1.0963,66.4627
W0068,68,21,main_etch,722.0563,10.3185,116.8854,1.0897,66.5597
W0068,68,22,main_etch,726.7903,10.3631,117.6924,1.0750,66.8381
W0068,68,23,main_etch,729.1511,10.3260,116.9783,1.0723,66.4821
W0068,68,24,main_etch,728.3489,10.2750,117.2357,1.0862,66.8079
W0068,68,25,main_etch,728.4483,10.3411,116.1379,1.0654,66.6349
W0068,68,26,main_etch,726.2687,10.3256,117.0747,1.0974,66.5090
W0068,68,27,main_etch,728.5494,10.3124,117.1007,1.0725,66.7507
W0068,68,28,main_etch,723.1213,10.3128,117.3688,1.0711,66.7409
W0068,68,29,main_etch,725.3075,10.2241,117.6206,1.0663,66.6566
W0068,68,30,main_etch,726.7787,10.3567,117.7987,1.0609,66.6762
W0068,68,31,main_etch,722.7123,10.2674,116.1295,1.0655,66.6443
W0068,68,32,main_etch,724.9387,10.3329,118.2716,1.0805,66.7674
W0068,68,33,main_etch,729.6576,10.2713,116.2747,1.0688,66.4665
W0068,68,34,main_etch,727.2722,10.3638,116.0622,1.0643,66.5800
W0068,68,35,main_etch,722.6469,10.2967,117.5958,1.0478,66.5710
W0068,68,36,main_etch,727.1072,10.3434,117.9082,1.0714,66.7470
W0068,68,37,main_etch,729.2032,10.3317,117.2197,1.0600,66.8405
W0068,68,38,main_etch,724.4694,10.3488,117.0926,1.0588,66.8297
W0068,68,39,main_etch,728.1683,10.3956,117.5380,1.0641,66.8156
W0068,68,40,main_etch,718.9732,10.3161,117.9532,1.0413,66.7241
W0068,68,41,main_etch,726.6044,10.2907,116.2825,1.0561,66.7924
W0068,68,42,main_etch,726.4647,10.2984,117.4516,1.0539,66.7859
W0068,68,43,main_etch,723.3192,10.3740,118.1207,1.0543,66.7563
W0068,68,44,main_etch,726.2179,10.3988,117.3015,1.0411,66.6984
W0068,68,45,main_etch,728.4278,10.3367,117.1379,1.0534,66.9997
W0068,68,46,main_etch,722.3049,10.3437,116.3536,1.0303,66.8101
W0068,68,47,main_etch,727.8952,10.4077,117.7773,1.0314,66.8507
W0068,68,48,main_etch,728.4990,10.3136,116.7912,1.0558,66.4390
W0068,68,49,main_etch,726.7584,10.3241,116.9390,1.0568,66.8875
W0068,68,50,main_etch,726.2399,10.2808,116.5619,1.0343,66.8985
W0068,68,51,main_etch,722.7811,10.3678,117.2078,1.0421,66.8586
W0068,68,52,main_etch,726.1528,10.2325,116.0636,1.0309,66.6446
W0068,68,53,main_etch,726.3706,10.3634,116.5021,1.0328,66.9428
W0068,68,54,main_etch,724.1507,10.3074,117.9238,1.0225,66.7479
W0068,68,55,main_etch,724.0493,10.3199,115.6045,1.0350,66.9795
W0068,68,56,main_etch,725.1079,10.3562,117.9770,1.0362,66.7468
W0068,68,57,main_etch,728.3769,10.3189,117.2918,1.0345,66.9692
W0068,68,58,main_etch,727.6536,10.3429,117.4924,1.0249,66.7417
W0068,68,59,main_etch,727.6423,10.2976,117.3707,1.0127,67.2102
W0068,68,60,main_etch,726.6467,10.3169,118.1043,1.0162,66.8605
W0068,68,61,main_etch,725.0703,10.3099,116.4440,1.0280,66.7061
W0068,68,62,main_etch,723.5110,10.3001,116.5334,1.0219,67.0479
W0068,68,63,main_etch,721.5618,10.4094,118.1003,1.0044,67.0515
W0068,68,64,main_etch,722.0510,10.2626,117.1906,1.0335,66.6270
W0068,68,65,main_etch,720.8689,10.3594,116.9270,1.0188,66.8626
W0068,68,66,main_etch,724.0647,10.4148,117.2419,1.0097,66.7397
W0068,68,67,main_etch,727.5675,10.3390,117.1657,1.0006,66.9089
W0068,68,68,main_etch,725.1107,10.3204,116.3924,1.0117,67.0120
W0068,68,69,main_etch,724.3477,10.3472,117.1900,1.0074,66.9860
W0068,68,70,main_etch,723.4586,10.3108,117.4993,0.9980,66.7352
W0068,68,71,main_etch,725.1921,10.3233,117.2902,0.9962,66.9103
W0068,68,72,main_etch,728.8882,10.3031,116.6803,0.9994,66.9329
W0068,68,73,main_etch,726.3534,10.3169,117.6459,0.9926,67.0277
W0068,68,74,main_etch,725.1536,10.3872,115.8959,0.9981,66.7467
W0068,68,75,overetch,696.1173,10.1830,121.1457,0.7647,67.4425
W0068,68,76,overetch,699.3285,10.1013,120.4849,0.7580,67.3763
W0068,68,77,overetch,699.2068,10.1547,119.4427,0.7405,67.6155
W0068,68,78,overetch,696.4987,10.1740,118.9424,0.7547,67.5337
W0068,68,79,overetch,696.1038,10.0026,119.6790,0.7515,67.2941
W0068,68,80,overetch,694.9376,10.1186,119.9048,0.7719,67.4932
W0068,68,81,overetch,695.7093,10.0230,120.3873,0.7500,67.2885
W0068,68,82,overetch,695.6055,10.1538,118.5836,0.7428,67.5870
W0068,68,83,overetch,699.6728,10.1478,119.4422,0.7445,67.4194
W0068,68,84,overetch,697.1667,10.1211,119.8002,0.7570,67.4574
W0068,68,85,overetch,696.0389,10.2046,119.1087,0.7419,67.5173
W0068,68,86,overetch,699.4668,10.1217,119.4352,0.7545,67.7538
W0068,68,87,overetch,696.8972,10.1011,119.6244,0.7662,67.0972
W0068,68,88,overetch,698.9304,10.1675,119.8826,0.7460,67.3735
W0068,68,89,overetch,698.9882,10.0997,120.1490,0.7408,67.5915
W0068,68,90,overetch,698.0245,10.1492,120.3443,0.7501,67.6419
W0068,68,91,overetch,694.1744,10.1329,120.0333,0.7394,67.3311
W0068,68,92,overetch,693.4286,10.1569,118.0335,0.7351,67.5927
W0068,68,93,overetch,702.2528,10.1790,119.5567,0.7492,67.3716
W0068,68,94,overetch,700.2246,10.1248,120.1896,0.7534,67.5879
W0068,68,95,overetch,693.4554,10.1692,120.8509,0.7413,67.6040
W0068,68,96,overetch,692.7633,10.1514,118.5633,0.7395,67.3222
W0068,68,97,overetch,694.8235,10.1515,120.3939,0.7409,67.3093
W0068,68,98,overetch,695.9332,10.1660,119.9772,0.7427,67.3143
W0068,68,99,overetch,695.9466,10.0525,119.9838,0.7466,67.3816
W0071,71,0,stabilize,670.3512,10.8897,117.3789,0.5864,64.4942
W0071,71,1,stabilize,671.4150,10.7657,118.9034,0.5535,64.6271
W0071,71,2,stabilize,668.5586,10.7891,116.3184,0.5636,64.4409
W0071,71,3,stabilize,668.6662,10.8024,117.0473,0.5604,64.6464
W0071,71,4,stabilize,668.9564,10.8258,118.6936,0.5760,64.8887
W0071,71,5,stabilize,671.0572,10.7388,118.7085,0.5856,64.7188
W0071,71,6,stabilize,671.7608,10.7974,117.2708,0.5670,64.6196
W0071,71,7,stabilize,669.5727,10.8688,116.8787,0.5738,64.7301
W0071,71,8,stabilize,672.2138,10.7767,117.6907,0.5858,64.6473
W0071,71,9,stabilize,664.7755,10.7792,116.7974,0.5718,64.6565
W0071,71,10,stabilize,666.1223,10.7898,117.3912,0.5825,64.6189
W0071,71,11,stabilize,669.1364,10.7801,117.3536,0.5631,64.6948
W0071,71,12,stabilize,662.1410,10.7548,116.0605,0.5621,64.5455
W0071,71,13,stabilize,664.4864,10.8232,117.8992,0.5748,64.7274
W0071,71,14,stabilize,667.0491,10.8040,116.9231,0.5673,64.6590
W0071,71,15,stabilize,667.7171,10.7998,118.2889,0.5671,64.6866
W0071,71,16,stabilize,667.5167,10.9012,115.5993,0.5684,64.7567
W0071,71,17,stabilize,664.6912,10.8293,117.1872,0.5657,64.6795
W0071,71,18,stabilize,665.3497,10.8169,116.8240,0.5603,64.4088
W0071,71,19,stabilize,670.1277,10.8679,117.4414,0.5600,64.7206
W0071,71,20,main_etch,741.2525,10.2020,117.8112,1.0915,65.1722
W0071,71,21,main_etch,738.9071,10.2558,117.4877,1.0704,65.2480
W0071,71,22,main_etch,744.0261,10.2794,116.4012,1.0896,65.3205
W0071,71,23,main_etch,744.5286,10.3526,115.9320,1.0780,65.4408
W0071,71,24,main_etch,744.8834,10.2123,117.9273,1.0812,65.0959
W0071,71,25,main_etch,739.9159,10.1955,116.6549,1.0826,65.2910
W0071,71,26,main_etch,737.8210,10.2139,116.3520,1.0838,65.1684
W0071,71,27,main_etch,740.9839,10.2513,118.7383,1.1033,65.3837
W0071,71,28,main_etch,740.3945,10.3892,117.9511,1.0652,65.3769
W0071,71,29,main_etch,744.9760,10.2659,117.7325,1.0714,65.1198
W0071,71,30,main_etch,743.4282,10.2715,117.3334,1.0762,65.3062
W0071,71,31,main_etch,742.7355,10.2513,115.4631,1.0648,65.5050
W0071,71,32,main_etch,745.3793,10.3664,117.5532,1.0685,65.1963
W0071,71,33,main_etch,741.1026,10.3723,118.3377,1.0699,65.1566
W0071,71,34,main_etch,741.2725,10.3115,116.4217,1.0595,65.1677
W0071,71,35,main_etch,745.6785,10.2500,117.5591,1.0516,65.1674
W0071,71,36,main_etch,744.4809,10.3153,117.6299,1.0608,65.3117
W0071,71,37,main_etch,739.8103,10.3382,118.6579,1.0548,64.9132
W0071,71,38,main_etch,740.8164,10.3210,116.2619,1.0590,65.2232
W0071,71,39,main_etch,740.3332,10.2748,117.1281,1.0602,65.2905
W0071,71,40,main_etch,743.0311,10.2808,116.8759,1.0598,65.2765
W0071,71,41,main_etch,740.0970,10.3268,117.6562,1.0436,65.2640
W0071,71,42,main_etch,741.3362,10.1697,116.7232,1.0506,65.2269
W0071,71,43,main_etch,743.9371,10.4273,117.5072,1.0372,65.1954
W0071,71,44,main_etch,740.2263,10.2733,117.9901,1.0343,65.4178
W0071,71,45,main_etch,741.0098,10.3171,117.6819,1.0256,65.3119
W0071,71,46,main_etch,739.4605,10.2870,116.5194,1.0288,65.1598
W0071,71,47,main_etch,743.5493,10.2860,117.4468,1.0515,65.6208
W0071,71,48,main_etch,743.3082,10.3886,116.2403,1.0301,65.3432
W0071,71,49,main_etch,742.8419,10.3065,116.9490,1.0217,65.3655
W0071,71,50,main_etch,743.2052,10.3606,117.1750,1.0200,65.3824
W0071,71,51,main_etch,743.3422,10.2593,116.3649,1.0362,65.3807
W0071,71,52,main_etch,745.3293,10.3400,118.4666,1.0272,65.0768
W0071,71,53,main_etch,738.9684,10.3171,117.4699,1.0219,65.5117
W0071,71,54,main_etch,736.4623,10.3153,116.9613,1.0314,65.2540
W0071,71,55,main_etch,742.7890,10.3225,116.1863,1.0306,65.0894
W0071,71,56,main_etch,743.0765,10.3473,116.8830,1.0361,65.0739
W0071,71,57,main_etch,741.1844,10.2839,117.7498,1.0279,65.2302
W0071,71,58,main_etch,743.3479,10.2350,117.8363,1.0387,65.5689
W0071,71,59,main_etch,742.6211,10.3848,117.4636,1.0286,65.3283
W0071,71,60,main_etch,741.9749,10.2705,116.8277,1.0252,65.3463
W0071,71,61,main_etch,744.7383,10.3092,115.6734,1.0175,65.6890
W0071,71,62,main_etch,744.5387,10.2566,116.4588,1.0237,65.4087
W0071,71,63,main_etch,743.5362,10.3791,116.5177,0.9927,65.4457
W0071,71,64,main_etch,741.4378,10.2544,116.2871,0.9960,65.2780
W0071,71,65,main_etch,741.9013,10.2520,118.2155,1.0140,65.2402
W0071,71,66,main_etch,738.7798,10.3289,116.6899,1.0089,65.3656
