wafer_id,lot_id,run_index,measured_at,metrology_tool,site,cd_measured_nm
W0147,LOT06,147,2026-01-05 23:46:38.939513856,CDSEM-02,centre,43.939
W0148,LOT06,148,2026-01-06 02:53:27.750792114,CDSEM-02,centre,44.752
W0154,LOT07,154,2026-01-06 02:21:53.188143656,CDSEM-02,centre,43.515
W0156,LOT07,156,2026-01-06 03:53:13.340495684,CDSEM-01,centre,43.922
W0161,LOT07,161,2026-01-06 01:50:18.827947471,CDSEM-01,centre,44.269
W0163,LOT07,163,2026-01-06 01:22:57.655714184,CDSEM-02,centre,43.832
W0168,LOT07,168,2026-01-06 03:00:45.575220643,CDSEM-01,centre,44.299
W0170,LOT07,170,2026-01-06 04:40:13.543666467,CDSEM-02,centre,43.592
W0173,LOT07,173,2026-01-06 04:46:30.536838908,CDSEM-02,centre,43.616
W0174,LOT07,174,2026-01-06 05:47:21.046330068,CDSEM-02,centre,43.736
W0175,LOT07,175,2026-01-06 06:39:55.870320189,CDSEM-02,centre,44.066
W0177,LOT08,177,2026-01-06 05:18:31.888425475,CDSEM-02,centre,46.359
W0181,LOT08,181,2026-01-06 06:41:18.842165438,CDSEM-01,centre,45.755
W0187,LOT08,187,2026-01-06 07:15:16.395864027,CDSEM-01,centre,46.556
W0191,LOT08,191,2026-01-06 08:57:33.564505987,CDSEM-01,centre,47.042
W0193,LOT08,193,2026-01-06 04:22:53.108376018,CDSEM-02,centre,46.44
W0194,LOT08,194,2026-01-06 06:51:24.376981458,CDSEM-01,centre,46.725
W0195,LOT08,195,2026-01-06 04:56:15.623662006,CDSEM-02,centre,47.04
W0197,LOT08,197,2026-01-06 08:09:09.827568361,CDSEM-02,centre,46.401
W0198,LOT08,198,2026-01-06 06:30:38.578143291,CDSEM-01,centre,46.424
W0199,LOT08,199,2026-01-06 08:33:38.106798247,CDSEM-01,centre,46.245
W0203,LOT09,203,2026-01-06 09:50:33.625797918,CDSEM-01,centre,46.482
W0205,LOT09,205,2026-01-06 06:38:56.632093782,CDSEM-01,centre,45.911
W0210,LOT09,210,2026-01-06 08:53:54.254350636,CDSEM-02,centre,46.822
W0213,LOT09,213,2026-01-06 08:02:52.307135520,CDSEM-02,centre,46.128
W0215,LOT09,215,2026-01-06 08:09:43.429823092,CDSEM-01,centre,45.919
W0217,LOT09,217,2026-01-06 08:27:11.123493836,CDSEM-01,centre,45.743
W0220,LOT09,220,2026-01-06 09:19:30.655855034,CDSEM-02,centre,46.93
W0224,LOT09,224,2026-01-06 09:49:27.625549951,CDSEM-02,centre,46.63
W0225,LOT09,225,2026-01-06 10:04:52.207699584,CDSEM-02,centre,46.211
W0226,LOT10,226,2026-01-06 11:37:44.176133714,CDSEM-02,centre,47.046
W0228,LOT10,228,2026-01-06 13:03:44.787813835,CDSEM-01,centre,47.418
W0230,LOT10,230,2026-01-06 08:19:05.725029056,CDSEM-01,centre,47.261
W0232,LOT10,232,2026-01-06 09:52:38.012324911,CDSEM-01,centre,47.631
W0234,LOT10,234,2026-01-06 13:09:53.254901634,CDSEM-01,centre,47.349
W0241,LOT10,241,2026-01-06 10:45:33.353897910,CDSEM-02,centre,47.2
W0242,LOT10,242,2026-01-06 10:26:16.020425647,CDSEM-02,centre,47.506
W0246,LOT10,246,2026-01-06 12:45:28.842328669,CDSEM-01,centre,47.057
W0247,LOT10,247,2026-01-06 10:18:43.023801051,CDSEM-02,centre,46.79
W0250,LOT10,250,2026-01-06 15:09:24.507152991,CDSEM-02,centre,47.286
W0253,LOT11,253,2026-01-06 12:35:22.501541085,CDSEM-01,centre,45.72
W0257,LOT11,257,2026-01-06 13:56:23.827029063,CDSEM-01,centre,44.808
W0261,LOT11,261,2026-01-06 14:41:25.778919871,CDSEM-02,centre,45.109
W0266,LOT11,266,2026-01-06 13:26:51.309587884,CDSEM-02,centre,46.121
W0267,LOT11,267,2026-01-06 16:39:09.036723098,CDSEM-02,centre,45.614
W0269,LOT11,269,2026-01-06 17:11:06.357847994,CDSEM-02,centre,45.549
W0270,LOT11,270,2026-01-06 13:43:45.504665161,CDSEM-01,centre,45.445
W0271,LOT11,271,2026-01-06 14:03:53.105453041,CDSEM-02,centre,45.046
W0272,LOT11,272,2026-01-06 16:57:11.228997379,CDSEM-02,centre,44.798
W0273,LOT11,273,2026-01-06 12:49:43.431684328,CDSEM-01,centre,45.434
W0276,LOT12,276,2026-01-06 14:02:34.806768045,CDSEM-02,centre,44.619
W0277,LOT12,277,2026-01-06 17:24:04.311811676,CDSEM-02,centre,45.169
W0281,LOT12,281,2026-01-06 14:18:50.553289852,CDSEM-01,centre,44.945
W0288,LOT12,288,2026-01-06 13:55:06.198230282,CDSEM-01,centre,44.968
W0289,LOT12,289,2026-01-06 15:17:34.491109706,CDSEM-01,centre,45.771
W0290,LOT12,290,2026-01-06 19:06:52.045169683,CDSEM-02,centre,45.352
W0295,LOT12,295,2026-01-06 14:37:49.835544876,CDSEM-01,centre,45.34
W0297,LOT12,297,2026-01-06 15:00:45.365172068,CDSEM-02,centre,44.963
W0299,LOT12,299,2026-01-06 17:13:25.413772528,CDSEM-02,centre,45.249
W0301,LOT13,301,2026-01-06 16:11:29.548458584,CDSEM-02,centre,45.741
W0303,LOT13,303,2026-01-06 20:05:03.252615391,CDSEM-01,centre,45.648
W0307,LOT13,307,2026-01-06 17:54:44.349906861,CDSEM-02,centre,45.191
W0310,LOT13,310,2026-01-06 18:54:53.397562779,CDSEM-02,centre,45.919
W0311,LOT13,311,2026-01-06 20:22:39.493265702,CDSEM-02,centre,45.416
W0313,LOT13,313,2026-01-06 21:50:36.005315340,CDSEM-01,centre,46.038
W0314,LOT13,314,2026-01-06 19:34:33.153892272,CDSEM-02,centre,45.829
W0317,LOT13,317,2026-01-06 18:38:10.256040573,CDSEM-01,centre,46.253
W0319,LOT13,319,2026-01-06 21:57:48.502407904,CDSEM-02,centre,45.569
W0321,LOT13,321,2026-01-06 19:46:45.365232538,CDSEM-01,centre,44.806
W0327,LOT14,327,2026-01-06 20:23:25.618910317,CDSEM-01,centre,44.445
W0330,LOT14,330,2026-01-06 21:38:36.380158488,CDSEM-01,centre,44.202
W0332,LOT14,332,2026-01-07 00:10:58.374701628,CDSEM-01,centre,44.081
W0333,LOT14,333,2026-01-06 23:22:20.332092685,CDSEM-01,centre,43.798
W0335,LOT14,335,2026-01-06 23:40:17.614875282,CDSEM-01,centre,44.145
W0337,LOT14,337,2026-01-06 21:57:06.890620695,CDSEM-01,centre,44.314
W0340,LOT14,340,2026-01-07 00:24:13.027614448,CDSEM-01,centre,43.919
W0343,LOT14,343,2026-01-07 00:46:08.656866794,CDSEM-02,centre,45.029
W0346,LOT14,346,2026-01-07 00:15:53.376263558,CDSEM-02,centre,44.578
W0350,LOT14,350,2026-01-07 00:44:26.729317796,CDSEM-02,centre,44.506
W0353,LOT15,353,2026-01-06 21:27:52.878226396,CDSEM-01,centre,44.465
W0355,LOT15,355,2026-01-07 02:05:37.160548524,CDSEM-01,centre,44.477
W0356,LOT15,356,2026-01-06 23:55:47.824743148,CDSEM-02,centre,44.603
W0359,LOT15,359,2026-01-06 21:40:55.053887931,CDSEM-01,centre,44.403
W0361,LOT15,361,2026-01-06 21:51:39.852183788,CDSEM-02,centre,44.792
W0362,LOT15,362,2026-01-07 02:28:38.578102476,CDSEM-01,centre,44.7
W0366,LOT15,366,2026-01-06 22:38:04.702739392,CDSEM-01,centre,44.317
W0370,LOT15,370,2026-01-07 02:06:59.520045759,CDSEM-01,centre,44.416
W0371,LOT15,371,2026-01-07 02:44:26.265575491,CDSEM-02,centre,44.709
W0372,LOT15,372,2026-01-07 02:55:57.424273731,CDSEM-01,centre,44.927
W0378,LOT16,378,2026-01-07 02:14:30.645411372,CDSEM-01,centre,45.207
W0380,LOT16,380,2026-01-06 23:36:31.720852214,CDSEM-01,centre,45.663
W0382,LOT16,382,2026-01-07 03:44:07.879291671,CDSEM-01,centre,45.584
W0383,LOT16,383,2026-01-07 02:27:52.213003888,CDSEM-02,centre,45.71
W0392,LOT16,392,2026-01-07 04:42:16.694258671,CDSEM-01,centre,45.635
W0394,LOT16,394,2026-01-07 05:19:40.339123713,CDSEM-01,centre,45.595
W0395,LOT16,395,2026-01-07 02:07:05.812263654,CDSEM-01,centre,46.28
W0399,LOT16,399,2026-01-07 03:18:41.510228815,CDSEM-01,centre,45.225
W0400,LOT16,400,2026-01-07 06:10:19.306001115,CDSEM-01,centre,45.804
W0402,LOT17,402,2026-01-07 06:39:47.885507424,CDSEM-02,centre,44.246
W0406,LOT17,406,2026-01-07 05:49:32.459120666,CDSEM-02,centre,44.281
W0407,LOT17,407,2026-01-07 03:17:02.711377399,CDSEM-01,centre,44.212
W0408,LOT17,408,2026-01-07 05:17:32.904352820,CDSEM-02,centre,44.293
W0412,LOT17,412,2026-01-07 02:54:57.936853645,CDSEM-01,centre,44.302
W0413,LOT17,413,2026-01-07 07:57:50.407924575,CDSEM-02,centre,44.187
W0415,LOT17,415,2026-01-07 07:56:37.260541489,CDSEM-01,centre,44.148
W0417,LOT17,417,2026-01-07 06:15:23.570050575,CDSEM-01,centre,43.693
W0418,LOT17,418,2026-01-07 07:55:20.699070330,CDSEM-02,centre,44.263
W0422,LOT17,422,2026-01-07 06:06:36.605909091,CDSEM-02,centre,43.809
W0426,LOT18,426,2026-01-07 05:59:38.624521510,CDSEM-01,centre,46.273
W0428,LOT18,428,2026-01-07 06:18:48.472119098,CDSEM-01,centre,45.946
W0434,LOT18,434,2026-01-07 07:04:59.664030367,CDSEM-02,centre,45.8
W0437,LOT18,437,2026-01-07 07:06:27.254154499,CDSEM-01,centre,45.901
W0438,LOT18,438,2026-01-07 07:42:10.779162387,CDSEM-01,centre,45.921
W0441,LOT18,441,2026-01-07 06:46:18.992917622,CDSEM-02,centre,45.477
W0442,LOT18,442,2026-01-07 06:45:33.041491178,CDSEM-02,centre,45.796
W0443,LOT18,443,2026-01-07 07:15:33.297518096,CDSEM-02,centre,46.138
W0446,LOT18,446,2026-01-07 10:47:11.818762757,CDSEM-02,centre,45.556
W0450,LOT18,450,2026-01-07 07:42:23.986593498,CDSEM-02,centre,45.805
W0451,LOT19,451,2026-01-07 10:28:10.482118032,CDSEM-01,centre,45.992
W0452,LOT19,452,2026-01-07 10:53:20.571843119,CDSEM-02,centre,45.762
W0456,LOT19,456,2026-01-07 09:50:05.233819102,CDSEM-01,centre,45.843
W0461,LOT19,461,2026-01-07 09:31:42.421352494,CDSEM-01,centre,45.988
W0463,LOT19,463,2026-01-07 13:34:04.922266645,CDSEM-02,centre,45.643
W0465,LOT19,465,2026-01-07 13:13:07.156421698,CDSEM-01,centre,45.511
W0467,LOT19,467,2026-01-07 11:39:21.686011758,CDSEM-01,centre,46.052
W0472,LOT19,472,2026-01-07 13:41:32.706172554,CDSEM-01,centre,46.517
W0474,LOT19,474,2026-01-07 11:43:05.068194981,CDSEM-02,centre,46.006
W0475,LOT19,475,2026-01-07 09:46:22.960752945,CDSEM-02,centre,45.892
W0478,LOT20,478,2026-01-07 14:42:32.326822538,CDSEM-02,centre,44.276
W0479,LOT20,479,2026-01-07 11:40:35.376237351,CDSEM-02,centre,44.461
W0480,LOT20,480,2026-01-07 11:33:30.575381160,CDSEM-01,centre,44.257
W0485,LOT20,485,2026-01-07 12:55:09.858301854,CDSEM-01,centre,44.671
W0487,LOT20,487,2026-01-07 10:43:10.187893399,CDSEM-01,centre,44.346
W0490,LOT20,490,2026-01-07 13:17:31.654905231,CDSEM-02,centre,44.783
W0491,LOT20,491,2026-01-07 13:15:28.066496419,CDSEM-01,centre,44.146
W0493,LOT20,493,2026-01-07 12:22:06.820246879,CDSEM-01,centre,43.917
W0494,LOT20,494,2026-01-07 11:17:46.871416099,CDSEM-01,centre,43.841
W0495,LOT20,495,2026-01-07 14:19:51.900508508,CDSEM-01,centre,44.14
W0502,LOT21,502,2026-01-07 13:02:18.340649385,CDSEM-01,centre,45.16
W0507,LOT21,507,2026-01-07 16:40:17.124258200,CDSEM-01,centre,44.958
W0508,LOT21,508,2026-01-07 16:04:45.533523391,CDSEM-01,centre,45.555
W0512,LOT21,512,2026-01-07 17:28:31.680926625,CDSEM-01,centre,46.705
W0513,LOT21,513,2026-01-07 15:27:32.266132177,CDSEM-02,centre,46.014
W0514,LOT21,514,2026-01-07 15:34:51.915815013,CDSEM-02,centre,46.26
W0517,LOT21,517,2026-01-07 13:57:26.263681123,CDSEM-01,centre,45.054
W0521,LOT21,521,2026-01-07 14:05:17.651648870,CDSEM-02,centre,45.604
W0522,LOT21,522,2026-01-07 14:28:15.164962365,CDSEM-02,centre,45.793
W0525,LOT21,525,2026-01-07 14:07:49.503633289,CDSEM-02,centre,44.964
W0526,LOT22,526,2026-01-07 15:42:40.404232686,CDSEM-01,centre,46.37
W0529,LOT22,529,2026-01-07 15:28:41.920154242,CDSEM-01,centre,45.749
W0531,LOT22,531,2026-01-07 20:47:32.575203770,CDSEM-02,centre,46.381
W0534,LOT22,534,2026-01-07 16:50:32.347776027,CDSEM-02,centre,46.141
W0540,LOT22,540,2026-01-07 20:41:03.822943874,CDSEM-02,centre,45.966
W0544,LOT22,544,2026-01-07 19:16:43.209251516,CDSEM-01,centre,46.619
W0545,LOT22,545,2026-01-07 16:18:26.392017496,CDSEM-02,centre,46.106
W0549,LOT22,549,2026-01-07 19:55:51.842108101,CDSEM-01,centre,47.0
W0550,LOT22,550,2026-01-07 21:01:57.515859384,CDSEM-02,centre,46.252
W0551,LOT23,551,2026-01-07 23:10:23.184621025,CDSEM-01,centre,46.184
W0553,LOT23,553,2026-01-07 18:07:29.899770602,CDSEM-02,centre,46.478
W0554,LOT23,554,2026-01-07 19:58:00.328766878,CDSEM-02,centre,46.756
W0560,LOT23,560,2026-01-07 22:23:00.441484931,CDSEM-01,centre,45.756
W0562,LOT23,562,2026-01-07 19:59:40.335690140,CDSEM-01,centre,46.094
W0565,LOT23,565,2026-01-07 21:41:21.483692648,CDSEM-02,centre,45.996
W0566,LOT23,566,2026-01-07 20:58:06.172316240,CDSEM-02,centre,46.453
W0570,LOT23,570,2026-01-07 19:23:43.199831593,CDSEM-02,centre,46.033
W0572,LOT23,572,2026-01-07 21:13:01.890302551,CDSEM-01,centre,47.001
W0573,LOT23,573,2026-01-08 00:35:51.670940196,CDSEM-02,centre,45.83
W0576,LOT24,576,2026-01-07 21:41:44.237026788,CDSEM-01,centre,45.57
W0578,LOT24,578,2026-01-07 21:31:54.545597875,CDSEM-01,centre,45.865
W0581,LOT24,581,2026-01-08 00:12:40.236032545,CDSEM-02,centre,45.671
W0584,LOT24,584,2026-01-07 20:50:43.163747894,CDSEM-02,centre,45.989
W0586,LOT24,586,2026-01-07 23:05:49.301057414,CDSEM-02,centre,46.451
W0587,LOT24,587,2026-01-07 22:06:40.666798864,CDSEM-02,centre,45.48
W0588,LOT24,588,2026-01-07 22:36:55.709364862,CDSEM-01,centre,46.542
W0592,LOT24,592,2026-01-08 01:34:07.900742791,CDSEM-01,centre,45.837
W0594,LOT24,594,2026-01-07 21:50:22.235213065,CDSEM-01,centre,45.634
W0595,LOT24,595,2026-01-07 21:54:08.963304656,CDSEM-01,centre,45.819
W0601,LOT25,601,2026-01-08 02:50:52.010000794,CDSEM-02,centre,45.023
W0603,LOT25,603,2026-01-08 02:59:06.818111661,CDSEM-02,centre,45.028
W0609,LOT25,609,2026-01-08 02:52:36.200664697,CDSEM-01,centre,46.294
W0612,LOT25,612,2026-01-07 23:08:40.762357596,CDSEM-02,centre,46.409
W0613,LOT25,613,2026-01-08 00:31:17.172036214,CDSEM-01,centre,46.146
W0617,LOT25,617,2026-01-08 00:53:08.439780330,CDSEM-02,centre,44.958
W0618,LOT25,618,2026-01-08 03:08:28.156899783,CDSEM-02,centre,46.148
W0620,LOT25,620,2026-01-08 00:05:37.145361189,CDSEM-02,centre,46.134
W0622,LOT25,622,2026-01-08 00:34:05.508014344,CDSEM-01,centre,45.919
W0624,LOT25,624,2026-01-08 02:27:22.581008338,CDSEM-02,centre,45.855
W0630,LOT26,630,2026-01-08 05:20:52.859076933,CDSEM-02,centre,44.555
W0631,LOT26,631,2026-01-08 01:57:15.659042037,CDSEM-01,centre,44.258
W0632,LOT26,632,2026-01-08 05:23:55.151552890,CDSEM-01,centre,44.28
W0633,LOT26,633,2026-01-08 01:31:43.934847597,CDSEM-01,centre,44.142
W0636,LOT26,636,2026-01-08 03:26:37.350044701,CDSEM-02,centre,44.029
W0637,LOT26,637,2026-01-08 05:28:54.260522052,CDSEM-01,centre,44.805
W0644,LOT26,644,2026-01-08 03:31:01.673020406,CDSEM-02,centre,44.173
W0647,LOT26,647,2026-01-08 05:07:04.578916754,CDSEM-02,centre,44.758
W0650,LOT26,650,2026-01-08 04:35:51.700214282,CDSEM-02,centre,45.206
W0651,LOT27,651,2026-01-08 05:24:54.418671972,CDSEM-01,centre,44.784
W0656,LOT27,656,2026-01-08 05:02:12.414413918,CDSEM-02,centre,44.078
W0660,LOT27,660,2026-01-08 06:09:07.375547847,CDSEM-02,centre,45.275
W0663,LOT27,663,2026-01-08 07:32:01.641244210,CDSEM-02,centre,44.068
W0666,LOT27,666,2026-01-08 09:40:50.852069292,CDSEM-02,centre,43.649
W0667,LOT27,667,2026-01-08 08:19:33.429909943,CDSEM-02,centre,44.361
W0672,LOT27,672,2026-01-08 08:05:58.349476827,CDSEM-01,centre,44.82
W0674,LOT27,674,2026-01-08 08:25:16.679209443,CDSEM-01,centre,44.225
W0675,LOT27,675,2026-01-08 09:14:41.582192114,CDSEM-01,centre,44.753
W0676,LOT28,676,2026-01-08 06:38:16.202682890,CDSEM-02,centre,44.373
W0678,LOT28,678,2026-01-08 10:22:43.983582523,CDSEM-02,centre,43.687
W0680,LOT28,680,2026-01-08 06:50:51.576337570,CDSEM-01,centre,43.472
W0682,LOT28,682,2026-01-08 08:48:55.791271662,CDSEM-01,centre,44.37
W0683,LOT28,683,2026-01-08 11:17:41.008603310,CDSEM-01,centre,44.155
W0686,LOT28,686,2026-01-08 10:55:28.043491546,CDSEM-01,centre,44.648
W0688,LOT28,688,2026-01-08 06:57:02.221264050,CDSEM-02,centre,44.672
W0695,LOT28,695,2026-01-08 12:46:50.395683250,CDSEM-02,centre,44.171
W0698,LOT28,698,2026-01-08 10:44:25.698782715,CDSEM-02,centre,44.291
W0699,LOT28,699,2026-01-08 07:58:04.529772482,CDSEM-02,centre,44.427
W0704,LOT29,704,2026-01-08 10:49:09.109066640,CDSEM-01,centre,43.751
W0707,LOT29,707,2026-01-08 09:47:38.098640726,CDSEM-01,centre,43.992
W0709,LOT29,709,2026-01-08 10:59:03.793824429,CDSEM-01,centre,43.514
W0713,LOT29,713,2026-01-08 09:56:55.272550638,CDSEM-01,centre,44.122
W0715,LOT29,715,2026-01-08 10:00:27.530739056,CDSEM-01,centre,43.008
W0717,LOT29,717,2026-01-08 10:29:45.348842136,CDSEM-02,centre,43.109
W0721,LOT29,721,2026-01-08 14:04:59.129469486,CDSEM-01,centre,43.446
W0722,LOT29,722,2026-01-08 10:26:25.999835340,CDSEM-02,centre,43.536
W0723,LOT29,723,2026-01-08 15:05:56.563198492,CDSEM-01,centre,43.605
W0725,LOT29,725,2026-01-08 15:10:29.686853102,CDSEM-01,centre,44.325
W0726,LOT30,726,2026-01-08 14:27:27.427537810,CDSEM-01,centre,44.728
W0727,LOT30,727,2026-01-08 12:13:35.968057654,CDSEM-01,centre,45.5
W0729,LOT30,729,2026-01-08 11:27:58.051211814,CDSEM-01,centre,44.438
W0730,LOT30,730,2026-01-08 13:51:28.416670700,CDSEM-02,centre,44.355
W0732,LOT30,732,2026-01-08 12:50:08.094149440,CDSEM-02,centre,44.767
W0737,LOT30,737,2026-01-08 12:29:02.843712351,CDSEM-01,centre,45.043
W0741,LOT30,741,2026-01-08 14:10:28.692755518,CDSEM-02,centre,44.949
W0743,LOT30,743,2026-01-08 14:10:57.452003659,CDSEM-02,centre,44.67
W0747,LOT30,747,2026-01-08 14:50:19.341512620,CDSEM-01,centre,44.163
W0748,LOT30,748,2026-01-08 14:24:29.563106270,CDSEM-02,centre,44.371
W0753,LOT31,753,2026-01-08 15:00:43.799278986,CDSEM-01,centre,45.366
W0754,LOT31,754,2026-01-08 17:44:12.474715326,CDSEM-01,centre,45.798
W0755,LOT31,755,2026-01-08 18:29:44.081840968,CDSEM-01,centre,45.158
W0759,LOT31,759,2026-01-08 17:09:22.992441444,CDSEM-01,centre,46.391
W0760,LOT31,760,2026-01-08 15:53:17.997013708,CDSEM-01,centre,45.735
W0766,LOT31,766,2026-01-08 16:42:36.451268737,CDSEM-01,centre,46.516
W0768,LOT31,768,2026-01-08 16:05:07.837258621,CDSEM-01,centre,46.141
W0771,LOT31,771,2026-01-08 17:09:39.025365850,CDSEM-02,centre,46.315
W0772,LOT31,772,2026-01-08 16:20:33.542334650,CDSEM-02,centre,45.877
W0774,LOT31,774,2026-01-08 15:25:19.257294144,CDSEM-01,centre,45.882
W0776,LOT32,776,2026-01-08 21:43:34.100684490,CDSEM-02,centre,45.269
W0777,LOT32,777,2026-01-08 20:06:06.752867018,CDSEM-01,centre,45.392
W0778,LOT32,778,2026-01-08 20:04:45.516667969,CDSEM-01,centre,45.652
W0780,LOT32,780,2026-01-08 18:24:56.642692644,CDSEM-02,centre,46.035
W0781,LOT32,781,2026-01-08 17:10:39.241830194,CDSEM-02,centre,45.338
W0782,LOT32,782,2026-01-08 22:00:30.844512014,CDSEM-01,centre,45.881
W0788,LOT32,788,2026-01-08 22:38:48.500258028,CDSEM-01,centre,44.404
W0791,LOT32,791,2026-01-08 19:17:28.611794284,CDSEM-01,centre,45.486
W0793,LOT32,793,2026-01-08 19:39:50.234994334,CDSEM-02,centre,45.446
W0798,LOT32,798,2026-01-08 23:29:56.610735720,CDSEM-01,centre,46.371
W0802,LOT33,802,2026-01-08 23:39:48.942752223,CDSEM-02,centre,46.059
W0806,LOT33,806,2026-01-08 21:26:06.409088268,CDSEM-01,centre,45.256
W0808,LOT33,808,2026-01-08 21:13:34.813787361,CDSEM-01,centre,45.639
W0809,LOT33,809,2026-01-08 21:18:29.437501107,CDSEM-02,centre,45.058
W0810,LOT33,810,2026-01-09 00:25:02.191077865,CDSEM-02,centre,45.769
W0811,LOT33,811,2026-01-08 20:54:53.127234388,CDSEM-01,centre,45.58
W0813,LOT33,813,2026-01-09 00:28:20.737525216,CDSEM-02,centre,45.951
W0814,LOT33,814,2026-01-09 00:32:13.121777374,CDSEM-02,centre,45.469
W0819,LOT33,819,2026-01-08 22:38:53.768245754,CDSEM-02,centre,45.622
W0825,LOT33,825,2026-01-09 00:24:08.336862169,CDSEM-01,centre,45.018
W0826,LOT34,826,2026-01-08 23:00:11.142658868,CDSEM-01,centre,44.667
W0828,LOT34,828,2026-01-09 03:03:59.302181998,CDSEM-02,centre,44.233
W0832,LOT34,832,2026-01-08 23:39:05.033281118,CDSEM-01,centre,44.14
